3724	20826.79	250	1.55	83.31	4351.90	18.33%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.7 	profit_zone_reward=0.5 	DEMA_period=80 	ema_period=25 	rsi_period=20	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
3748	20660.86	247	1.52	83.65	4428.98	15.63%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.8 	profit_zone_reward=0.1 	DEMA_period=80 	ema_period=25 	rsi_period=14	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
3922	20437.02	278	1.48	73.51	4210.43	14.67%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.5 	profit_zone_reward=0.3 	DEMA_period=80 	ema_period=25 	rsi_period=18	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
4139	20433.01	278	1.48	73.50	4211.24	14.67%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.5 	profit_zone_reward=0.3 	DEMA_period=80 	ema_period=25 	rsi_period=16	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
4009	20432.91	278	1.48	73.50	4210.25	14.67%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.5 	profit_zone_reward=0.3 	DEMA_period=80 	ema_period=25 	rsi_period=20	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
3286	19906.41	278	1.47	71.61	4184.65	14.70%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.5 	profit_zone_reward=0.2 	DEMA_period=80 	ema_period=25 	rsi_period=18	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
1493	19902.52	278	1.47	71.59	4184.40	14.70%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.5 	profit_zone_reward=0.2 	DEMA_period=80 	ema_period=25 	rsi_period=20	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
2138	19899.03	278	1.47	71.58	4183.74	14.70%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.5 	profit_zone_reward=0.2 	DEMA_period=80 	ema_period=25 	rsi_period=16	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
2935	19670.45	277	1.47	71.01	4224.27	14.87%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.5 	profit_zone_reward=0.1 	DEMA_period=80 	ema_period=25 	rsi_period=16	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
2365	19669.18	277	1.47	71.01	4224.02	14.87%	0.00000000	max_open_trades=1 	ATR_period=40 	SL_ratio=2 	TP_ratio=6 	breakeven=0.5 	profit_zone_reward=0.1 	DEMA_period=80 	ema_period=25 	rsi_period=18	fixed_sltp=1 	slippage=3 	exportPFThreshold=1.2 	max_open_risk=1 	profit_zone=0.9 	hour_limit_start=2 	hour_limit_end=22 	DEMA_filter=0 	DEMA_filter_period=0 	DEMA_enum_price=0 	DEMA_enum_filter=0 	ema_price=0
